D_K	class_group
-87289583	888,3,3
-87374676	222,6,3
-87438824	126,6,6
-87556859	264,6,3
-87590243	168,6,3
-87621595	102,6,3
-87759928	78,6,3
-87771844	114,6,6
-87893823	414,6,3
-87970040	96,6,6
-88163771	363,3,3
-88235059	120,6,3
-88359035	150,6,3
-88396079	1032,3,3
-88474207	630,3,3
-88503319	411,3,3
-88605903	240,6,3
-88957723	150,3,3
-89101399	675,3,3
-89209544	612,3,3
-89234452	198,3,3
-89258335	276,6,3
-89284916	96,12,6
-89466479	492,6,3
-89471204	72,12,6
-89479108	132,6,3
-89575699	255,3,3
-89625131	453,3,3
-90055207	342,3,3
-90129243	192,3,3
-90151727	1131,3,3
-90233124	102,6,6
-90379720	102,6,3
-90399059	360,3,3
-90424839	180,12,3
-90428676	48,6,6,2
-90531160	24,12,6
-90751007	1125,3,3
-90827851	204,3,3
-90847527	252,6,3
-91120904	180,6,6
-91153780	108,6,3
-91171831	630,3,3
-91246847	342,6,6
-91420051	114,6,3
-91765579	255,3,3
-91789131	108,6,3
-92011559	1764,3,3
-92519956	144,6,3
-92547507	66,6,6
-92613251	405,3,3
-92630292	24,6,6,2,2
-92788051	102,6,3
-92956243	144,3,3
-92965111	543,3,3
-93345044	120,6,6
-93463883	276,3,3
-93494131	327,3,3
-93572052	54,6,6
-93672231	210,6,6
-93695199	462,6,3
-93785768	258,6,3
-93828263	168,12,3
-94226740	114,6,3
-94314472	96,6,3
-94359479	756,3,3
-94489012	102,6,3
-94600216	174,6,3
-94652299	96,6,3
-94709544	198,6,3
-94771304	342,6,3
-94779688	72,6,6
-94932955	114,6,3
-95043595	48,12,3
-95117988	36,6,6,2
-95319944	576,3,3
-95378159	1365,3,3
-95400167	648,3,3
-95932132	96,6,3
-96012987	36,6,6
-96032407	390,3,3
-96095191	750,3,3
-96157147	96,3,3
-96163699	126,3,3
-96198436	96,6,6
-96347887	522,3,3
-96529780	84,6,6
-96569255	318,6,6
-96632203	204,3,3
-96635087	1224,3,3
-96691448	36,12,6,2
-96758036	120,6,6
-96769507	102,6,3
-96924143	954,3,3
-96956527	483,3,3
-97028499	312,3,3
-97097335	180,6,6
-97193767	492,3,3
-97508420	108,6,6
-97572883	99,3,3
-97660095	36,6,6,2,2
-97677239	1062,3,3
-97685956	324,3,3
-98134403	288,3,3
-98346291	144,6,3
-98501444	438,6,3
-98512820	144,6,6
-98532655	138,6,6
-98975828	150,6,6
-98999924	474,3,3
-99063651	192,3,3
-99119012	240,6,3
-99151723	84,6,3
-99356968	222,3,3
-99422308	228,3,3
-99888447	198,6,6
-100051871	840,6,3
-100183379	450,3,3
-100203007	300,3,3
-100351651	138,3,3
-100465547	162,6,3
-100470679	576,3,3
-100552015	180,6,3
-100765576	132,6,3
-100861323	150,6,3
-101022855	174,6,6
-101035903	204,6,3
-101177319	288,6,6
-101380051	102,6,3
-101402132	108,6,6
-101588291	60,12,6
-101706439	144,12,3
-101706719	1056,3,3
-101726123	225,3,3
-101764712	24,12,6,2
-101798884	48,6,6,2
-101993963	213,3,3
-102107476	198,6,3
-102408356	588,3,3
-102448843	162,3,3
-102504715	18,18,6
-102862399	192,12,3
-102875979	198,6,3
-102991307	369,3,3
-103019367	240,6,6
-103066755	24,6,6,2
-103233395	174,6,3
-103265860	78,6,6
-103410836	270,6,3
-103419807	162,6,6
-103585979	324,6,3
-103770483	198,3,3
-103804552	120,6,3
-103965639	810,3,3
-104176635	180,6,3
-104540167	222,6,3
-104712567	300,6,3
-104728740	96,6,6
-104729779	66,6,6
-104731543	186,6,3
-104864343	486,6,3
-104906328	144,6,3
-104956276	204,6,3
-105040211	576,3,3
-105071143	399,3,3
-105215595	90,6,3
-105273787	144,3,3
-105274283	297,3,3
-105347240	264,6,3
-105569787	72,6,3
-105589567	288,6,3
-105720547	102,3,3
-105834035	378,3,3
-105860635	108,6,3
-105967319	1629,3,3
-106125551	156,12,6
-106247912	90,6,6
-106268803	147,3,3
-106331556	138,6,3
-106372235	156,6,3
-106715623	438,3,3
-106925507	336,3,3
-107033560	144,6,3
-107034195	114,6,3
-107095315	90,6,3
-107314951	645,3,3
-107475007	681,3,3
-107623363	159,3,3
-107668299	264,3,3
-107682635	270,3,3
-108037479	102,6,6,2
-108109907	204,6,3
-108273279	672,3,3
-108289923	102,6,3
-108315995	96,12,3
-108518063	1260,3,3
-108526127	996,3,3
-108627752	522,3,3
-108654647	564,6,3
-108764879	1275,3,3
-108803464	108,6,6
-108890715	72,6,6
-109036687	204,6,3
-109060195	240,3,3
-109414808	294,6,3
-109587704	504,3,3
-109970463	504,3,3
-110021687	1587,3,3
-110317755	42,6,6
-110398423	366,3,3
-110426808	66,6,6
-110528935	150,6,6
-110554211	609,3,3
-110800772	120,12,3
-110870967	120,6,6
-110899864	462,3,3
-110992667	198,3,3
-111043195	54,6,6
-111199539	84,6,6
-111234260	210,6,3
-111442868	486,3,3
-111677988	48,6,6
-111690015	432,6,3
-111900819	180,6,3
-111924471	396,6,3
-112047087	348,6,3
-112059944	468,6,3
-112072984	378,3,3
-112112119	360,6,3
-112117351	735,3,3
-112121876	96,12,6
-112363203	216,3,3
-112456564	126,6,6
-112547220	30,6,6,2
-112596647	516,3,3
-112723355	492,3,3
-112889387	138,6,3
-112992004	84,6,6
-113007880	84,6,6
-113018495	252,6,6
-113096244	120,6,6
-113105219	528,3,3
-113156599	522,6,3
-113167511	1239,3,3
-113221139	240,6,3
-113259832	60,12,3
-113490499	243,3,3
-113540959	270,9,3
-113890891	198,3,3
-114080251	192,6,3
-114100019	240,6,3
-114178515	84,6,6
-114292127	1020,3,3
-114296595	36,6,6,2
-114514807	252,6,3
-114536483	414,3,3
-114574879	990,3,3
-114601055	492,6,3
-114610335	120,6,6
-114622887	468,3,3
-115001783	936,3,3
-115026215	594,6,3
-115076040	84,6,6
-115205367	72,6,6,2
-115329767	846,3,3
-115516059	282,3,3
-115566587	441,3,3
-115676840	96,6,6,2
-115737043	90,3,3
-115915967	1230,3,3
-116208379	66,6,6
-116256163	60,6,3
-116313160	78,6,6
-116537768	288,6,3
-116689115	138,6,3
-116737743	564,3,3
-116872171	72,12,3
-117126383	774,6,3
-117211048	138,6,3
-117413191	156,6,6
-117917147	594,3,3
-118035051	306,3,3
-118111703	1425,3,3
-118364216	366,6,3
-118414067	261,3,3
-118426632	84,6,6
-118540135	348,6,3
-118625620	60,6,6
-118706147	234,6,3
-118820856	24,6,6,2,2
-118874888	264,6,3
-119070947	318,3,3
-119182840	78,6,6
-119208040	36,6,6,2
-119422468	72,6,6
-119439427	135,3,3
-119602411	138,6,3
-119771843	321,3,3
-119808287	846,3,3
-119850047	792,3,3
-119879459	420,3,3
-119905627	54,9,3
-120085699	285,3,3
-120214447	576,3,3
-120291131	486,3,3
-120340607	1026,3,3
-120423796	210,6,3
-120457012	90,6,3
-120727867	78,6,3
-120755064	66,6,6,2
-120770168	282,6,3
-120779123	342,3,3
-120906347	303,3,3
-120976943	1347,3,3
-121013764	132,6,3
-121212515	330,3,3
-121270235	342,3,3
-121295560	30,6,6,2
-121382643	216,3,3
-121462739	318,6,3
-121494820	168,6,3
-121599127	462,3,3
-121791091	231,3,3
-122084895	378,6,3
-122237763	78,6,3
-122333143	477,3,3
-122340311	1275,3,3
-122380811	480,3,3
-122400367	474,3,3
-122563911	396,6,3
-122592871	540,3,3
-122594963	321,3,3
-122641927	84,12,3
-122739448	84,6,6
-122818616	372,6,3
-122836171	336,3,3
-122845123	114,3,3
-122924623	348,6,3
-123088355	114,6,6
-123418083	396,3,3
-123437656	228,6,3
-123440727	132,6,6
-123652535	324,6,6
-123673460	120,6,6
-123698584	150,6,3
-123712095	252,6,6
-123927735	204,6,6
-123939723	252,3,3
-124171604	72,12,6
-124260783	366,6,3
-124438679	1458,3,3
-124479319	993,3,3
-124586023	516,3,3
-124789384	96,6,6
-124971331	213,3,3
-125146031	1908,3,3
-125151859	324,3,3
-125187496	138,6,3
-125261035	102,6,3
-125266235	594,3,3
-125333412	150,6,3
-125389496	306,6,3
-125474071	690,3,3
-125599604	72,6,6,2
-125640255	102,6,6,2
-125932691	501,3,3
-125982391	945,3,3
-126078459	90,6,6
-126160744	486,3,3
-126190095	510,6,3
-126207064	162,6,3
-126247035	78,6,6
-126395447	816,6,3
-126441247	186,6,3
-126453544	132,6,6
-126488119	810,3,3
-126533428	60,6,6
-126680395	216,3,3
-126757480	114,6,3
-126842071	753,3,3
-126931407	234,6,3
-126946959	282,6,6
-127001507	513,3,3
-127083363	114,6,3
-127140819	126,6,3
-127179368	144,6,6
-127214419	273,3,3
-127775543	414,6,3
-127780203	48,6,6
-127839299	300,6,3
-127863723	48,12,3
-128173971	252,3,3
-128219291	486,3,3
-128264243	84,12,3
-128297731	258,3,3
-128400095	786,6,3
-128551556	420,6,3
-128568632	270,6,3
-128631659	444,3,3
-128791076	162,6,6
-128873467	132,3,3
-128942504	666,3,3
-129052759	222,6,6
-129346591	498,6,3
-129465544	138,6,6
-129545647	132,6,6
-129566823	138,6,6
-129621827	375,3,3
-129794180	432,6,3
-129800404	264,6,3
-129853060	72,6,6
-130106879	1110,3,3
-130287111	216,6,6
-130323587	300,3,3
-130841668	144,6,3
-130981476	126,6,6
-131071559	1575,3,3
-131296148	168,6,3
-131379251	774,3,3
-131461883	264,3,3
-131484740	162,6,6
-131662371	264,3,3
-131789608	378,3,3
-131842299	360,3,3
-132000548	120,12,3
-132067304	1074,3,3
-132085951	936,3,3
-132163268	318,6,3
-132309544	198,6,3
-132473940	42,6,6,2
-132535283	447,3,3
-132696427	225,3,3
-132748228	156,3,3
-132763171	210,3,3
-132768840	126,6,6
-132799179	72,6,6
-132948888	132,6,3
-132975815	282,6,6
-133331928	120,6,3
-133574847	120,6,6,2
-133667087	654,3,3
-133746671	1293,3,3
-133858164	60,6,6,2
-133920551	1530,3,3
-133989187	234,3,3
-134104024	114,6,6
-134216987	279,3,3
-134217247	681,3,3
-134400324	36,6,6,2
-134705176	138,6,3
-134937604	468,3,3
-134937803	48,6,6,2
-135130999	96,24,3
-135235988	324,6,3
-135448979	276,6,3
-135496963	120,6,3
-135547519	831,3,3
-135618612	60,12,6
-135672259	243,3,3
-135761647	522,3,3
-135813691	72,6,6
-135819467	144,6,3
-135838324	450,3,3
-135896664	54,6,6,2
-135912067	132,3,3
-135942127	639,3,3
-135992867	441,3,3
-136151583	336,6,3
-136153111	1287,3,3
-136185871	1080,3,3
-136256647	426,3,3
-136282463	960,3,3
-136687508	204,6,3
-136878251	579,3,3
-137007843	114,6,3
-137034408	90,6,6
-137170183	258,6,3
-137225371	396,3,3
-137291476	102,6,6
-137353544	984,3,3
-137394091	246,3,3
-137436724	120,6,6
-137672011	198,3,3
-137738792	240,6,3
-137752583	1173,3,3
-137896439	1278,3,3
-138387395	126,6,6
-138394136	882,3,3
-138431976	150,6,3
-138603587	366,3,3
-138650388	144,6,3
-138690547	45,9,3
-138697355	540,3,3
-138814971	150,6,3
-139160659	240,3,3
-139174539	198,6,3
-139353252	120,6,6
-139457363	306,3,3
-139509247	558,3,3
-139713832	198,3,3
-139725491	504,3,3
-139758459	72,6,6
-139791739	495,3,3
-139854279	252,12,3
-140037972	90,6,6
-140168771	447,3,3
-140196739	174,3,3
-140217268	234,3,3
-140313171	96,6,6
-140367832	36,6,6,2
-140436319	810,3,3
-140477435	192,6,3
-140507383	432,3,3
-140559544	468,3,3
-140623051	270,3,3
-140655747	102,6,3
-140768771	366,6,3
-140813643	336,3,3
-140987188	78,6,6
-141000955	204,3,3
-141073183	675,3,3
-141154516	534,3,3
-141178143	624,3,3
-141241443	18,18,6
-141590039	1854,3,3
-141624232	294,3,3
-141723403	231,3,3
-141772615	198,6,6
-141950147	162,6,3
-141960027	60,6,6
-141976823	426,6,3
-142014499	138,6,3
-142082007	270,6,3
-142270239	228,12,3
-142531951	714,3,3
-142545871	558,6,3
-142650951	480,6,3
-142705139	300,6,3
-142722836	594,3,3
-142829491	420,3,3
-143011787	345,3,3
-143153812	150,6,3
-143294291	372,6,3
-143306932	174,6,3
-143390452	72,6,6
-143506884	306,6,3
-143509683	84,6,3
-143862803	144,6,3
-143978071	837,3,3
-144024031	324,6,3
-144095547	192,3,3
-144115476	240,6,3
-144178420	72,6,6
-144297267	60,6,6
-144317791	603,3,3
-144346308	150,6,3
-144352228	168,6,3
-144449419	108,6,3
-144523723	72,6,3
-144664899	234,3,3
-144708547	165,3,3
-144910303	318,6,3
-145170008	150,6,6
-145281736	282,6,3
-145379719	702,3,3
-145391423	753,3,3
-145519608	36,18,6
-145537655	324,6,6
-145694455	540,3,3
-145761028	84,6,6
-146144183	1260,3,3
-146175455	396,6,6
-146215079	516,12,3
-146767151	1563,3,3
-146904195	30,6,6,2
-146969896	282,6,3
-147106619	306,6,3
-147203607	180,12,3
-147223524	60,6,6,2
-147278003	351,3,3
-147288551	1026,3,3
-147364807	387,3,3
-147372692	186,6,6
-147430363	78,6,3
-147488884	342,3,3
-147619732	102,6,3
-147634791	618,6,3
-147671428	96,6,3
-147833688	90,6,6
-147848471	1320,3,3
-147863908	186,6,3
-148015928	162,6,3
-148077199	528,6,3
-148183412	276,6,3
-148232379	132,6,3
-148326260	366,6,3
-148371684	84,6,6,2
-148374067	186,3,3
-148447176	240,6,3
-148459339	144,6,3
-148590251	804,3,3
-148670884	72,12,6
-148826372	636,3,3
-148847668	126,6,3
-148917919	297,9,3
-148919560	60,6,6,2
-149065343	228,6,6
-149126459	594,3,3
-149168660	156,6,6
-149225315	210,6,3
-149292411	282,3,3
-149408452	144,6,3
-149499255	108,6,6,2
-149548296	144,6,6
-149614899	144,6,3
-149696351	1008,6,3
-149796607	600,3,3
-149839763	414,3,3
-149845791	540,6,3
-149876552	252,6,3
-149896580	144,6,6
-149898920	156,6,6
-149969224	108,6,6
-150029755	90,6,3
-150037588	72,6,6
-150102607	240,6,3
-150119711	1884,3,3
-150248959	504,6,3
-150266123	84,6,6
-150511811	549,3,3
-150517588	54,6,6
-150560363	402,3,3
-150811763	204,3,3
-150978931	330,3,3
-151017079	765,3,3
-151213531	138,6,3
-151285703	630,6,3
-151310607	228,6,6
-151326223	702,3,3
-151328355	222,6,3
-151418068	132,6,3
-151431927	384,6,3
-151601656	120,12,3
-151793279	804,6,3
-151931352	246,6,3
-152129903	534,6,3
-152141831	1956,3,3
-152170691	648,3,3
-152326968	270,6,3
-152566824	114,6,6
-152590867	60,6,3
